order_id,order_date,order_status,customer_id,customer_email,product_name,product_sku,quantity,unit_price_gbp,discount_gbp,subtotal_gbp,shipping_gbp,order_total_gbp,attributed_channel,attributed_campaign,attributed_source,session_id,payment_method,is_new_customer,coupon_code
ORD-36252,09/08/2024,completed,usr_48779,customer7460@gmail.com,Hyaluronic Acid Serum,LB-329,1,24.2,0,24.2,0,24.2,organic_search,,tiktok,,,,WELCOME15
ORD-92526,2024-02-18,completed,usr_66819,customer1998@hotmail.co.uk,Vitamin C Serum 30ml,LB-279,2,40.02,0,80.04,3.99,84.03,direct,,bing,sess_804838,klarna,TRUE,VIP25
ORD-98505,04-05-2024,refunded,usr_90778,customer4586@hotmail.co.uk,Niacinamide Toner,LB-713,3,18.67,0,56.01,0,56.01,organic_search,Flash_Sale_48hr,bing,sess_375935,paypal,false,WELCOME15
ORD-73234,03-29-2024,pending,usr_63068,customer6089@gmail.com,Hyaluronic Acid Serum,LB-972,4,44.05,0,176.2,6.99,183.19,email,Abandoned_Cart_2,META,sess_299793,Klarna,false,
ORD-58446,2024/09/13,pending,usr_98161,customer7635@gmail.com,Vitamin C Serum 30ml,LB-559,3,71.43,0,214.29,0,214.29,,Shopping_Moisturisers,bing,sess_395645,Klarna,FALSE,
ORD-77685,2024/10/15,Completed,usr_50118,customer8680@gmail.com,Peptide Moisturiser,LB-326,3,33.69,0,101.07,6.99,108.06,paid_search,Conversion_NightCream_Q3,tiktok,sess_971224,,,
ORD-52184,10-Nov-2024,completed,usr_68107,customer6819@gmail.com,Glow Cream 50ml,LB-370,2,78.8,0,157.6,0,,direct,Generic_Skincare_Broad,google,sess_227640,klarna,0,VIP25
ORD-96903,06/03/2024,completed,usr_96131,customer4639@gmail.com,Retinol Night Cream,LB-353,3,68.45,0,205.35,0,205.35,direct,DSA_AllProducts,pinterest,sess_168769,card,FALSE,SUMMER10
ORD-50665,,cancelled,usr_55744,customer3338@hotmail.co.uk,Cleansing Balm,LB-934,3,61.55,0,184.65,3.99,188.64,referral,Shopping_Serums,unknown,sess_872059,,false,VIP25
ORD-46271,05-21-2024,refunded,usr_32696,customer9701@gmail.com,Peptide Moisturiser,LB-278,1,37.55,0,37.55,0,37.55,organic_search,brand_kw_exact,pinterest,sess_120186,paypal,1,WELCOME15
ORD-62538,,COMPLETED,usr_40016,customer853@gmail.com,Eye Cream 15ml,LB-347,2,52.78,0,105.56,0,105.56,organic_search,,pinterest,sess_908654,PayPal,FALSE,
ORD-70193,03-Jan-2024,COMPLETED,usr_51431,customer3609@gmail.com,Vitamin C Serum 30ml,LB-399,2,56.14,0,112.28,3.99,116.27,paid_search,Brand_KW_Exact,google,sess_850291,Card,,VIP25
ORD-23307,13/04/2024,cancelled,,customer8639@gmail.com,Hyaluronic Acid Serum,LB-421,1,64.27,1.12,63.15,0,63.15,Paid_Search,LookAlike_SPF_Apr24,Google,sess_596041,Card,true,SUMMER10
